SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11
,,"{""SEC14L1"", ""protein_coding:SLVRNA""}","{""IRAK2"", ""protein_coding:SLVRNA""}","{""DDR1"", ""protein_coding:SLVRNA""}","{""PRB4"", ""protein_coding:SLVRNA""}","{""RBAK"", ""protein_coding:SLVRNA""}","{""RPS28"", ""protein_coding:SLVRNA""}","{""NXF1"", ""protein_coding:SLVRNA""}","{""ARF6"", ""protein_coding:SLVRNA""}","{""RP13-516M14.1"", ""lincRNA:SLVRNA""}","{""ST3GAL4-AS1"", ""antisense:SLVRNA""}","{""USP7"", ""nonsense_mediated_decay:SLVRNA""}"
,,"{""MED28"", ""protein_coding:SLVRNA""}","{""RTCB"", ""protein_coding:SLVRNA""}","{""DUSP22"", ""protein_coding:SLVRNA""}","{""BAG3"", ""protein_coding:SLVRNA""}","{""PPP2R2A"", ""protein_coding:SLVRNA""}","{""IRF2BPL"", ""protein_coding:SLVRNA""}","{""MZF1"", ""retained_intron:SLVRNA""}","{""C15orf62"", ""protein_coding:SLVRNA""}","{""RPS25"", ""protein_coding:SLVRNA""}","{""ASPSCR1"", ""protein_coding:SLVRNA""}","{""EIF3B"", ""retained_intron:SLVRNA""}"
,,"{""RPS27L"", ""protein_coding:SLVRNA""}","{""BNIPL"", ""protein_coding:SLVRNA""}","{""ZNF592"", ""protein_coding:SLVRNA""}","{""MARCH5"", ""protein_coding:SLVRNA""}","{""NUP50"", ""protein_coding:SLVRNA""}","{""PNN"", ""protein_coding:SLVRNA""}","{""CLPTM1L"", ""retained_intron:SLVRNA""}","{""DENND3"", ""retained_intron:SLVRNA""}","{""ZNF688"", ""protein_coding:SLVRNA""}","{""TRAF3"", ""protein_coding:SLVRNA""}","{""RP11-109G10.1"", ""unprocessed_pseudogene:SLVRNA""}"
,,"{""MYO1B"", ""protein_coding:SLVRNA""}","{""HADHA"", ""nonsense_mediated_decay:SLVRNA""}","{""MAN2B2"", ""protein_coding:SLVRNA""}","{""PELI1"", ""protein_coding:SLVRNA""}","{""PLTP"", ""protein_coding:SLVRNA""}","{""RBM47"", ""retained_intron:SLVRNA""}","{""HAUS4"", ""protein_coding:SLVRNA""}","{""MGAT5"", ""protein_coding:SLVRNA""}","{""TPT1"", ""protein_coding:SLVRNA""}","{""INSR"", ""protein_coding:SLVRNA""}","{""TGFBR1"", ""protein_coding:SLVRNA""}"
,,"{""FBP1"", ""protein_coding:SLVRNA""}","{""ECM1"", ""protein_coding:SLVRNA""}","{""KIAA0141"", ""protein_coding:SLVRNA""}","{""REC8"", ""retained_intron:SLVRNA""}","{""NFKB2"", ""retained_intron:SLVRNA""}","{""COX7C"", ""protein_coding:SLVRNA""}","{""GPAA1"", ""retained_intron:SLVRNA""}","{""MCL1"", ""protein_coding:SLVRNA""}","{""CFL1"", ""retained_intron:SLVRNA""}","{""SNN"", ""protein_coding:SLVRNA""}","{""CALD1"", ""retained_intron:SLVRNA""}"
,,"{""TPCN1"", ""protein_coding:SLVRNA""}","{""HOPX"", ""protein_coding:SLVRNA""}","{""RGL2"", ""processed_transcript:SLVRNA""}","{""PRR14"", ""retained_intron:SLVRNA""}","{""SPAG9"", ""retained_intron:SLVRNA""}","{""KCNMA1"", ""protein_coding:SLVRNA""}","{""FLOT2"", ""retained_intron:SLVRNA""}","{""WDR91"", ""protein_coding:SLVRNA""}","{""CD59"", ""protein_coding:SLVRNA""}","{""EXPH5"", ""protein_coding:SLVRNA""}","{""C7orf73"", ""protein_coding:SLVRNA""}"
,,"{""SLC20A1"", ""protein_coding:SLVRNA""}","{""ZEB2"", ""protein_coding:SLVRNA""}","{""PLEKHA2"", ""protein_coding:SLVRNA""}","{""ATE1"", ""protein_coding:SLVRNA""}","{""PHF23"", ""protein_coding:SLVRNA""}","{""ERP44"", ""protein_coding:SLVRNA""}","{""STAT1"", ""protein_coding:SLVRNA""}","{""AXL"", ""protein_coding:SLVRNA""}","{""YBX1"", ""protein_coding:SLVRNA""}","{""EIF4G2"", ""retained_intron:SLVRNA""}","{""MECP2"", ""protein_coding:SLVRNA""}"
,,"{""SCARB2"", ""retained_intron:SLVRNA""}","{""PDCD6IP"", ""protein_coding:SLVRNA""}","{""TSC22D4"", ""protein_coding:SLVRNA""}","{""CRTC3"", ""protein_coding:SLVRNA""}","{""NBPF26"", ""protein_coding:SLVRNA""}","{""SYNE3"", ""protein_coding:SLVRNA""}","{""RASAL1"", ""processed_transcript:SLVRNA""}","{""MAST4"", ""protein_coding:SLVRNA""}","{""MUT"", ""protein_coding:SLVRNA""}","{""CHSY1"", ""protein_coding:SLVRNA""}","{""SMAP2"", ""protein_coding:SLVRNA""}"
,,"{""MED22"", ""protein_coding:SLVRNA""}","{""ESRP1"", ""protein_coding:SLVRNA""}","{""ATG13"", ""protein_coding:SLVRNA""}","{""YPEL2"", ""protein_coding:SLVRNA""}","{""RNF166"", ""processed_transcript:SLVRNA""}","{""ATP6AP2"", ""retained_intron:SLVRNA""}","{""GJB6"", ""protein_coding:SLVRNA""}","{""TTLL12"", ""protein_coding:SLVRNA""}","{""SF1"", ""processed_transcript:SLVRNA""}","{""RPL37"", ""protein_coding:SLVRNA""}","{""PLEKHJ1"", ""retained_intron:SLVRNA""}"
,,"{""RGL2"", ""protein_coding:SLVRNA""}","{""LSM5"", ""protein_coding:SLVRNA""}","{""MBD2"", ""protein_coding:SLVRNA""}","{""VDAC1"", ""protein_coding:SLVRNA""}","{""DICER1"", ""protein_coding:SLVRNA""}","{""TBC1D2"", ""protein_coding:SLVRNA""}","{""ARF1"", ""processed_transcript:SLVRNA""}","{""RNPEPL1"", ""protein_coding:SLVRNA""}","{""NDRG1"", ""retained_intron:SLVRNA""}","{""ST13"", ""protein_coding:SLVRNA""}","{""VGLL4"", ""protein_coding:SLVRNA""}"
,,"{""SUN1"", ""retained_intron:SLVRNA""}","{""DYNLL1"", ""protein_coding:SLVRNA""}","{""DBNL"", ""protein_coding:SLVRNA""}","{""SEP15"", ""protein_coding:SLVRNA""}","{""APLP2"", ""retained_intron:SLVRNA""}","{""MRC1"", ""protein_coding:SLVRNA""}","{""PRPF6"", ""protein_coding:SLVRNA""}","{""RP11-20I23.2"", ""TEC:SLVRNA""}","{""NARF"", ""nonsense_mediated_decay:SLVRNA""}","{""PFKL"", ""protein_coding:SLVRNA""}","{""RAB37"", ""retained_intron:SLVRNA""}"
,,"{""PADI1"", ""processed_transcript:SLVRNA""}","{""RNF20"", ""protein_coding:SLVRNA""}","{""ITPKB"", ""protein_coding:SLVRNA""}","{""TM4SF1"", ""protein_coding:SLVRNA""}","{""B4GALT5"", ""protein_coding:SLVRNA""}","{""ACO2"", ""protein_coding:SLVRNA""}","{""HNRNPM"", ""protein_coding:SLVRNA""}","{""STAT5A"", ""protein_coding:SLVRNA""}","{""SRP72"", ""protein_coding:SLVRNA""}","{""ALPL"", ""protein_coding:SLVRNA""}","{""LPAR2"", ""retained_intron:SLVRNA""}"
