SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15,Lag16
,"{""GOLGA5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MKRN2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMEM176B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CC2D1B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SMARCA5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PIM3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ARRB2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CLEC7A"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""THEMIS2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EMC7"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TYMP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""JTB"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DDX42"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PITHD1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DYSF"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RGS14"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RHBDD2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""AC005154.6"", ""antisense:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-81A1.6"", ""sense_intronic:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RPS5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ODC1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-666A8.13"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ATP5J"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CDH1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TIAL1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RBM3"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SNX24"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RAB11FIP5"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TSNAX"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""UBA52"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""COQ10B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ECHS1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TIPRL"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CD177"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""IER5L"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMED3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MED28"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MBD6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DBNDD1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GTF2F1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MAPK8"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HLA-DPA1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PPM1A"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SP100"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SRPK1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-231C14.4"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-25K21.4"", ""unprocessed_pseudogene:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DDAH2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RASA1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CLK3"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CBL"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FBRS"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""G6PD"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LRCH4"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""OAZ1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""OSGIN1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MMP19"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ADAM17"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PTPRA"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HNRNPL"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PURB"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ITGB2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""AP1G1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ZNF33A"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ACTN4"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LDB1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""BCR"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ABTB1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GGT1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PPP1R14B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""BRWD1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SDF4"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CD2BP2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FBXW11"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""KRT18"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TECR"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ATP6V0D1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EPHX3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""WDR55"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""BSG"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DUOX2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FPR2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMEM80"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""NCSTN"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PLEKHB2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ATP6V1C2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ARPC1B"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RPS3"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HSPA8"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SCNN1B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HSPA5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RAP2B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GAPDH"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CHAC1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SRSF5"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RNF223"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CHTOP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HERPUD1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EXOC7"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PHLDA3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FLII"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CAPG"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HNRNPU"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TPT1-AS1"", ""antisense:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MTX1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TRIM28"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TPRG1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CLEC10A"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GPN1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""KIAA0141"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EHD1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMEM165"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""YES1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""UQCRH"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LDLRAP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PCGF5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SARNP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LASP1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ADK"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RC3H1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""AES"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-384K6.6"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TNFRSF14"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-326I11.3"", ""bidirectional_promoter_lncRNA:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""KRCC1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HIF1A"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MAZ"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SPAST"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LYSMD2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""AMMECR1L"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RELB"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FKBP3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GALNT2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ADRBK1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ASB6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DDX60L"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""NFKBIA"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PRELID1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMPRSS11B"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TOPORS"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SMG5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ARHGAP18"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""WASH5P"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""COMMD5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TAF11"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LRP11"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EIF1AX"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ERLIN1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PDLIM7"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ATP6V0A4"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""BAG6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RASSF5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TSPAN14"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ADAMTSL4-AS1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EGR3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""XPO6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""NOTCH1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MAPKAPK3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ICAM1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""STAT3"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ZDHHC5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TARDBP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GRINA"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SIRT7"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DNAJA2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MIR210HG"", ""lincRNA:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CFL1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PPP1R10"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SNHG12"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HEXB"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LRP10"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMEM173"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ORAI1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TOP2B"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TNFAIP8L2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DEDD2"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PDXK"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DAXX"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""APH1A"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PTGR1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SQSTM1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MTF1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMED8"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SERPINA1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""KHDRBS1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ACTB"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RABAC1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FLCN"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SLC25A39"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GZMB"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LHFPL2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GDPD3"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""KARS"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CD151"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ARSB"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PARK7"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TRIM27"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CCT6A"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""UBXN4"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PFKL"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PGM2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""WLS"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RMI1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RAF1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SMCHD1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ATHL1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EIF4G1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ADAMTSL4"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PLK3"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TALDO1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ABCC5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CALM3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""OAT"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""NPLOC4"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""KLF4"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MECP2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PPM1D"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMPO"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ARF3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HIPK3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CTC-444N24.11"", ""lincRNA:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ABTB1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EHD1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TNFRSF10B"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SEC14L1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PICALM"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TMEM164"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""IER2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DDX6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EAPP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SNRNP70"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""NTNG2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TNFAIP2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CASP5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-159D12.2"", ""lincRNA:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GMPR2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""C14orf159"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RBM47"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GLTSCR1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CTB-50L17.14"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DOK3"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SERPINB1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""NFKBIZ"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FCGR2A"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SLCO3A1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FAM174A"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MAPK3"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""STK40"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ARRB2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""AMPD2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""BCL3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CTD-3252C9.4"", ""lincRNA:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MGAT4B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""IQSEC1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CSF2RB"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""NBEAL2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TRIM25"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""LINC01002"", ""lincRNA:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SNRNP70"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MMP25"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MYO1F"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CSF3R"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CDK16"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""AAMP"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""VPS52"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""USP36"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""NQO2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FXYD2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SNX11"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""KLK11"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CCNI"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SFPQ"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CMIP"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MGAT1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ZNF672"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MYO9B"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TBC1D15"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""EEF1D"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CXCL5"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PLB1"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""WIPI1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SRRM1"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MAFK"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""CRYM"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ATG16L2"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SLC16A6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ACADVL"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""STXBP2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FOS"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RASAL3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""HINT3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RAVER1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SLC30A1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""MAP2K2"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""TRAF3IP3"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PPCS"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FCER1G"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PARP14"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""KCTD10"", ""nonsense_mediated_decay:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""IFI35"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""IVNS1ABP"", ""processed_transcript:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""PTOV1"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""FLNA"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-34P13.13"", ""lincRNA:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""SAMD4B"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""GPR108"", ""retained_intron:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ATG16L1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""DLGAP4"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""STAG1"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""ILF2"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RP11-390E23.6"", ""antisense:SLVRNA""}",,,,,,,,,,,,,,,,
,"{""RNF6"", ""protein_coding:SLVRNA""}",,,,,,,,,,,,,,,,
