SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15,Lag16
,"{""PEA15"", ""protein_coding:SLVRNA""}","{""KLHL21"", ""protein_coding:SLVRNA""}","{""CLSTN3"", ""processed_transcript:SLVRNA""}","{""LILRA6"", ""nonsense_mediated_decay:SLVRNA""}","{""SF3A2"", ""protein_coding:SLVRNA""}","{""CD63"", ""protein_coding:SLVRNA""}","{""C14orf64"", ""lincRNA:SLVRNA""}","{""SPPL2B"", ""retained_intron:SLVRNA""}","{""E2F3"", ""protein_coding:SLVRNA""}","{""SNAP29"", ""protein_coding:SLVRNA""}","{""BCAS4"", ""protein_coding:SLVRNA""}","{""TAF15"", ""protein_coding:SLVRNA""}","{""CKB"", ""retained_intron:SLVRNA""}","{""SLC38A1"", ""protein_coding:SLVRNA""}","{""PLXND1"", ""retained_intron:SLVRNA""}","{""FAM167A"", ""protein_coding:SLVRNA""}","{""MBNL1"", ""protein_coding:SLVRNA""}"
,"{""AP1S1"", ""protein_coding:SLVRNA""}","{""PRPSAP1"", ""protein_coding:SLVRNA""}","{""HIST1H2AE"", ""protein_coding:SLVRNA""}","{""H2AFV"", ""protein_coding:SLVRNA""}","{""CASP9"", ""protein_coding:SLVRNA""}","{""PTPRE"", ""retained_intron:SLVRNA""}","{""USP27X"", ""protein_coding:SLVRNA""}","{""JRK"", ""protein_coding:SLVRNA""}","{""RTN3"", ""protein_coding:SLVRNA""}","{""RP3-449O17.1"", ""processed_transcript:SLVRNA""}","{""CCM2"", ""retained_intron:SLVRNA""}","{""MTCH1"", ""protein_coding:SLVRNA""}","{""MEF2A"", ""protein_coding:SLVRNA""}","{""STOML1"", ""protein_coding:SLVRNA""}","{""STK33"", ""retained_intron:SLVRNA""}","{""DNAL1"", ""protein_coding:SLVRNA""}","{""SGK1"", ""protein_coding:SLVRNA""}"
,"{""CAPZA2"", ""nonsense_mediated_decay:SLVRNA""}","{""MAP1S"", ""protein_coding:SLVRNA""}","{""DAP3"", ""retained_intron:SLVRNA""}","{""IFI30"", ""protein_coding:SLVRNA""}","{""HK2"", ""protein_coding:SLVRNA""}","{""PTPN13"", ""protein_coding:SLVRNA""}","{""PCDH9"", ""protein_coding:SLVRNA""}","{""HID1"", ""retained_intron:SLVRNA""}","{""RNPEPL1"", ""protein_coding:SLVRNA""}","{""HCLS1"", ""processed_transcript:SLVRNA""}","{""LPAR2"", ""protein_coding:SLVRNA""}","{""UBR4"", ""protein_coding:SLVRNA""}","{""ATG9B"", ""nonsense_mediated_decay:SLVRNA""}","{""MPHOSPH8"", ""protein_coding:SLVRNA""}","{""JADE1"", ""protein_coding:SLVRNA""}","{""TTBK2"", ""protein_coding:SLVRNA""}","{""CYP4F11"", ""protein_coding:SLVRNA""}"
,"{""PPM1G"", ""protein_coding:SLVRNA""}","{""RP11-326C3.12"", ""lincRNA:SLVRNA""}","{""ARL6IP4"", ""protein_coding:SLVRNA""}","{""HP1BP3"", ""protein_coding:SLVRNA""}","{""KCTD5"", ""protein_coding:SLVRNA""}","{""ZBTB21"", ""protein_coding:SLVRNA""}","{""TRIM41"", ""retained_intron:SLVRNA""}","{""SDCCAG8"", ""processed_transcript:SLVRNA""}","{""TBCB"", ""protein_coding:SLVRNA""}","{""RP11-21M7.1"", ""lincRNA:SLVRNA""}","{""FKBP5"", ""protein_coding:SLVRNA""}","{""PCNX1"", ""protein_coding:SLVRNA""}","{""TREM1"", ""retained_intron:SLVRNA""}","{""GBP1"", ""processed_transcript:SLVRNA""}","{""SSTR2"", ""protein_coding:SLVRNA""}","{""FAM126A"", ""protein_coding:SLVRNA""}","{""FOSL1"", ""protein_coding:SLVRNA""}"
,"{""CSNK1E"", ""protein_coding:SLVRNA""}","{""MKNK1"", ""retained_intron:SLVRNA""}","{""RP11-556O5.7"", ""processed_transcript:SLVRNA""}","{""FAM43A"", ""protein_coding:SLVRNA""}","{""RDH10"", ""protein_coding:SLVRNA""}","{""TAB3"", ""nonsense_mediated_decay:SLVRNA""}","{""FGF18"", ""protein_coding:SLVRNA""}","{""HECTD4"", ""retained_intron:SLVRNA""}","{""EIF3J"", ""protein_coding:SLVRNA""}","{""SYPL1"", ""protein_coding:SLVRNA""}","{""CTC-277H1.7"", ""retained_intron:SLVRNA""}","{""ZNF143"", ""protein_coding:SLVRNA""}","{""SET"", ""protein_coding:SLVRNA""}","{""LILRB2"", ""retained_intron:SLVRNA""}","{""MYO18A"", ""processed_transcript:SLVRNA""}","{""PGGT1B"", ""protein_coding:SLVRNA""}","{""AGRN"", ""protein_coding:SLVRNA""}"
,"{""SPSB3"", ""protein_coding:SLVRNA""}","{""WDR45B"", ""processed_transcript:SLVRNA""}","{""CD82"", ""processed_transcript:SLVRNA""}","{""LPCAT1"", ""protein_coding:SLVRNA""}","{""RPS16"", ""protein_coding:SLVRNA""}","{""PIP4K2C"", ""protein_coding:SLVRNA""}","{""MAPKBP1"", ""retained_intron:SLVRNA""}","{""FOXK1"", ""protein_coding:SLVRNA""}","{""IWS1"", ""protein_coding:SLVRNA""}","{""DBNDD2"", ""protein_coding:SLVRNA""}","{""PPP4R2"", ""protein_coding:SLVRNA""}","{""FAM53B"", ""protein_coding:SLVRNA""}","{""GPR157"", ""protein_coding:SLVRNA""}","{""BCL9L"", ""protein_coding:SLVRNA""}","{""GPI"", ""retained_intron:SLVRNA""}","{""C15orf59"", ""protein_coding:SLVRNA""}","{""SLC7A11"", ""protein_coding:SLVRNA""}"
,"{""RPL18"", ""protein_coding:SLVRNA""}","{""RAPGEF3"", ""nonsense_mediated_decay:SLVRNA""}","{""FAM120AOS"", ""processed_transcript:SLVRNA""}","{""CPVL"", ""protein_coding:SLVRNA""}","{""SH3BGRL2"", ""protein_coding:SLVRNA""}","{""ZDHHC17"", ""retained_intron:SLVRNA""}","{""PDIA4"", ""protein_coding:SLVRNA""}","{""ARL5B"", ""protein_coding:SLVRNA""}","{""STARD10"", ""protein_coding:SLVRNA""}",,"{""DOK4"", ""protein_coding:SLVRNA""}","{""CYSTM1"", ""protein_coding:SLVRNA""}","{""SERPINE1"", ""protein_coding:SLVRNA""}","{""KIAA1370"", ""nonsense_mediated_decay:SLVRNA""}","{""C19orf53"", ""protein_coding:SLVRNA""}","{""FAM98C"", ""retained_intron:SLVRNA""}","{""ALOX15B"", ""protein_coding:SLVRNA""}"
,"{""DHRS9"", ""protein_coding:SLVRNA""}","{""NECAP1"", ""protein_coding:SLVRNA""}","{""GRAMD1A"", ""protein_coding:SLVRNA""}","{""SARAF"", ""nonsense_mediated_decay:SLVRNA""}","{""LYZ"", ""protein_coding:SLVRNA""}","{""CRIP2"", ""protein_coding:SLVRNA""}","{""LINC01272"", ""lincRNA:SLVRNA""}","{""REL"", ""protein_coding:SLVRNA""}","{""RPS10"", ""protein_coding:SLVRNA""}",,"{""RHOA"", ""protein_coding:SLVRNA""}","{""KIAA2026"", ""protein_coding:SLVRNA""}","{""CD59"", ""retained_intron:SLVRNA""}","{""POLR2J3"", ""protein_coding:SLVRNA""}","{""OSGEP"", ""retained_intron:SLVRNA""}","{""STYK1"", ""protein_coding:SLVRNA""}","{""STAG2"", ""protein_coding:SLVRNA""}"
,"{""CRISP3"", ""protein_coding:SLVRNA""}","{""C12orf50"", ""retained_intron:SLVRNA""}","{""ATG16L2"", ""protein_coding:SLVRNA""}","{""TAX1BP3"", ""protein_coding:SLVRNA""}","{""AP5S1"", ""protein_coding:SLVRNA""}","{""TOR1AIP2"", ""protein_coding:SLVRNA""}","{""RPL8"", ""protein_coding:SLVRNA""}","{""DDX3Y"", ""processed_transcript:SLVRNA""}","{""LAT2"", ""nonsense_mediated_decay:SLVRNA""}",,,"{""ZNF410"", ""protein_coding:SLVRNA""}","{""COX7B"", ""protein_coding:SLVRNA""}","{""CYB5A"", ""protein_coding:SLVRNA""}","{""ADRBK1"", ""protein_coding:SLVRNA""}","{""OAS3"", ""protein_coding:SLVRNA""}","{""MINOS1"", ""protein_coding:SLVRNA""}"
,"{""MT2A"", ""protein_coding:SLVRNA""}","{""ZC3H11A"", ""protein_coding:SLVRNA""}","{""USO1"", ""protein_coding:SLVRNA""}","{""EPB41L3"", ""protein_coding:SLVRNA""}","{""RPL11"", ""retained_intron:SLVRNA""}","{""RP11-34P13.16"", ""processed_pseudogene:SLVRNA""}","{""DYNLL2"", ""protein_coding:SLVRNA""}","{""TACC3"", ""retained_intron:SLVRNA""}",,,,"{""ZCCHC8"", ""protein_coding:SLVRNA""}","{""SLURP2"", ""protein_coding:SLVRNA""}","{""ACAP1"", ""protein_coding:SLVRNA""}","{""SLC44A2"", ""retained_intron:SLVRNA""}","{""CDC27"", ""protein_coding:SLVRNA""}","{""PEX13"", ""protein_coding:SLVRNA""}"
